"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4,1,1,0,1,1,1,1,0,1,0,6.8596149036542,7,6.8596149036542
5,1,0,0,1,1,0,0,0,1,1,7.00215595440362,5,7.00215595440362
5,0,0,0,0,1,0,0,1,1,1,9.441610810502,4,0
5,1,0,0,1,1,0,0,0,1,1,7.22475340576797,5,7.22475340576797
4.5,1,0,0,0,1,0,1,0,1,1,7.98002359231065,5,7.98002359231065
5,1,0,0,1,1,0,0,0,1,1,8.06211758275474,5,8.06211758275474
4.5,1,1,0,1,1,1,0,0,1,0,7.6004023345004,6,7.6004023345004
5,1,0,1,1,1,0,0,0,1,0,7.39449310721904,5,7.39449310721904
4.5,0,0,0,1,1,0,0,0,1,0,8.43294163896865,3,0
5,1,0,0,1,1,0,0,0,1,1,8.70566247879643,5,8.70566247879643
5,1,0,0,1,1,0,0,0,1,1,6.43454651878745,5,6.43454651878745
5,1,0,0,1,1,0,0,0,1,1,8.33471162182092,5,8.33471162182092
4.5,1,0,1,1,1,0,0,0,1,1,7.0352685992811,6,7.0352685992811
4.5,1,0,0,1,1,0,0,0,1,1,9.22029070282935,5,9.22029070282935
5,1,1,1,1,1,1,1,0,1,0,6.42486902390539,8,6.42486902390539
4.5,1,0,0,1,1,0,0,0,1,1,7.62657020629066,5,7.62657020629066
4.5,1,0,0,1,1,0,0,0,1,0,8.04334217044161,4,8.04334217044161
4.5,1,0,0,1,1,0,0,0,1,1,8.65347080970879,5,8.65347080970879
4.5,1,0,0,1,1,0,0,0,1,0,8.80402490241318,4,8.80402490241318
4.5,0,0,1,1,1,0,0,0,1,1,7.36073990305828,5,0
5,0,0,1,1,1,0,0,0,1,1,7.05272104923232,5,0
4,1,0,1,1,1,0,0,0,1,0,7.95962530509811,5,7.95962530509811
4.5,1,0,0,1,1,0,0,0,1,1,7.04838640872188,5,7.04838640872188
5,1,0,0,1,1,0,0,0,1,1,5.56068163101553,5,5.56068163101553
4,0,0,1,1,1,0,0,0,1,0,6.55535689181067,4,0
4,0,0,0,1,1,0,0,0,1,0,6.64118216974059,3,0
4.5,1,1,0,1,1,1,1,0,1,0,8.5079506100493,7,8.5079506100493
5,1,0,0,1,1,0,0,0,1,1,6.49072353450251,5,6.49072353450251
4.5,1,0,0,1,1,0,0,0,1,1,8.46400336290212,5,8.46400336290212
4.5,0,0,0,1,1,0,0,0,1,0,8.69934806765309,3,0
4.5,1,0,0,1,1,0,0,0,1,0,6.5366915975913,4,6.5366915975913
4.5,0,0,0,1,1,0,0,0,1,1,8.35514473946184,4,0
5,0,0,0,1,1,0,0,0,1,0,5.22035582507832,3,0
5,0,0,0,1,1,0,0,0,1,0,7.70391020961631,3,0
4.5,1,0,0,1,1,0,0,0,1,0,8.08733292647335,4,8.08733292647335
5,1,0,0,1,1,0,0,0,1,0,7.4593388952203,4,7.4593388952203
5,0,0,0,1,1,0,0,0,1,0,8.26384813136891,3,0
5,0,0,0,1,1,0,0,0,1,1,6.82001636467413,4,0
5,1,0,0,1,1,0,0,0,1,1,8.76561454991472,5,8.76561454991472
4.5,0,0,0,0,0,0,0,0,1,1,7.028201432058,2,0
4.5,0,0,1,1,1,0,0,0,1,1,7.14519613499717,5,0
4.5,1,0,0,1,1,0,0,0,1,1,7.20934025660291,5,7.20934025660291
4.5,0,0,0,1,1,0,0,0,1,1,8.79072562826358,4,0
5,1,0,1,1,1,0,0,0,1,0,7.99159228206809,5,7.99159228206809
3.5,0,0,0,1,1,0,0,0,0,0,6.18826412308259,2,0
4,0,0,0,1,1,0,0,0,1,0,7.87283617502572,3,0
4,1,0,0,1,1,0,0,0,1,0,6.90675477864855,4,6.90675477864855
4.5,1,0,1,1,0,0,1,0,1,0,4.61512051684126,5,4.61512051684126
4.5,0,0,0,0,1,1,0,0,1,1,7.4599147662411,4,0
5,0,0,0,1,1,0,0,0,1,0,8.73391617492752,3,0
4.5,1,0,0,0,0,0,0,0,1,0,7.22402480828583,2,7.22402480828583
5,0,0,0,1,1,0,0,0,1,0,8.85066091901715,3,0
5,0,0,0,1,1,0,0,0,1,1,8.38274709486331,4,0
4.5,1,0,0,1,1,0,0,0,1,1,8.41737285613403,5,8.41737285613403
4.5,1,0,0,0,1,0,0,0,1,1,8.64400203827993,4,8.64400203827993
5,1,0,0,1,1,0,0,0,1,1,5.50938833662798,5,5.50938833662798
4.5,0,0,0,1,1,0,0,0,1,0,8.15392513200786,3,0
4.5,0,0,0,0,1,1,0,0,1,1,7.44483327389219,4,0
4.5,1,0,1,1,1,0,0,0,1,0,5.6970934865054,5,5.6970934865054
4.5,1,0,0,1,1,0,0,0,1,1,6.72982407048948,5,6.72982407048948
4,0,0,0,1,1,0,0,0,1,1,7.71154897962915,4,0
4.5,1,0,0,1,1,0,0,0,0,0,7.40913644392013,3,7.40913644392013
4.5,1,0,0,1,1,0,0,0,1,1,8.03883475778775,5,8.03883475778775
4,1,0,0,1,1,0,0,0,1,1,7.49164547360513,5,7.49164547360513
4.5,0,0,0,1,1,0,0,0,1,1,7.55066124310534,4,0
4.5,1,0,0,0,1,1,0,0,1,0,7.71912984090673,4,7.71912984090673
