"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4,1,1,0,1,1,1,1,0,1,0,0.531302075449017,2.37104487568226,1.35321307246076
5,1,0,0,1,1,0,0,0,1,1,0.602376206464237,1.06794377533888,1.39605564220307
5,0,0,0,0,1,0,0,1,1,1,1.81874253136842,0.416393225167193,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,1,0.713368235348158,1.06794377533888,1.46296020607711
4.5,1,0,0,0,1,0,1,0,1,1,1.08996271046951,1.06794377533888,1.68996649985088
5,1,0,0,1,1,0,0,0,1,1,1.13089659584295,1.06794377533888,1.71464091815027
4.5,1,1,0,1,1,1,0,0,1,0,0.900675127194993,1.71949432551057,1.57586638533726
5,1,0,1,1,1,0,0,0,1,0,0.798004217165254,1.06794377533888,1.51397768461556
4.5,0,0,0,1,1,0,0,0,1,0,1.31579769918387,-0.235157325004494,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,1,1.45178236183783,1.06794377533888,1.90806672037368
5,1,0,0,1,1,0,0,0,1,1,0.319353546112317,1.06794377533888,1.22545323185231
5,1,0,0,1,1,0,0,0,1,1,1.26681803282335,1.06794377533888,1.79657260778375
4.5,1,0,1,1,1,0,0,0,1,1,0.618886905998926,1.71949432551057,1.40600807899273
4.5,1,0,0,1,1,0,0,0,1,1,1.70838741439456,1.06794377533888,2.06274493737555
5,1,1,1,1,1,1,1,0,1,0,0.31452813241198,3.02259542585394,1.22254453469289
4.5,1,0,0,1,1,0,0,0,1,1,0.913723008757758,1.06794377533888,1.58373148010321
4.5,1,0,0,1,1,0,0,0,1,0,1.12153475862067,0.416393225167193,1.70899772338471
4.5,1,0,0,1,1,0,0,0,1,1,1.42575843745159,1.06794377533888,1.89237983430754
4.5,1,0,0,1,1,0,0,0,1,0,1.50082804900203,0.416393225167193,1.93763082819854
4.5,0,0,1,1,1,0,0,0,1,1,0.781174120557347,1.06794377533888,-0.708533549793646
5,0,0,1,1,1,0,0,0,1,1,0.627589084829852,1.06794377533888,-0.708533549793646
4,1,0,1,1,1,0,0,0,1,0,1.07979167180937,1.06794377533888,1.68383552889246
4.5,1,0,0,1,1,0,0,0,1,1,0.625427736881853,1.06794377533888,1.40995080751114
5,1,0,0,1,1,0,0,0,1,1,-0.116374878762895,1.06794377533888,0.962801755643249
4,0,0,1,1,1,0,0,0,1,0,0.37959227899036,0.416393225167193,-0.708533549793646
4,0,0,0,1,1,0,0,0,1,0,0.422386667104787,-0.235157325004494,-0.708533549793646
4.5,1,1,0,1,1,1,1,0,1,0,1.35319883667987,2.37104487568226,1.84864184254973
5,1,0,0,1,1,0,0,0,1,1,0.347364652765342,1.06794377533888,1.24233796576604
4.5,1,0,0,1,1,0,0,0,1,1,1.33128576402414,1.06794377533888,1.83543292490119
4.5,0,0,0,1,1,0,0,0,1,0,1.44863385631941,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,0.370285349093251,0.416393225167193,1.25615426597182
4.5,0,0,0,1,1,0,0,0,1,1,1.277006438708,0.416393225167193,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,0,-0.286068877732803,-0.235157325004494,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,0,0.952286450658772,-0.235157325004494,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,0,1.14346952577175,0.416393225167193,1.72221971819532
5,1,0,0,1,1,0,0,0,1,0,0.830337766047877,0.416393225167193,1.53346793097149
5,0,0,0,1,1,0,0,0,1,0,1.23148392396066,-0.235157325004494,-0.708533549793646
