"","%IncMSE","IncNodePurity"
"CarimboTripAdvisor",15.2961599296002,6.04981259877953
"Patrocinado",6.97783902163221,0.845569048381206
"Breakfast",9.13827907615403,2.34546959640189
"WiFi_gratuito",11.5266096024657,2.88447963032494
"Estacionamento_gratuito",20.2545297273598,15.5828715156639
"Piscina",11.4582467412036,2.92209639405196
"Restaurante",21.8901207151886,6.81924513186341
"Servico_quartos",11.2853064088219,2.29543245437308
"Tomar_medidas_seguranca",35.2395041596949,33.4156597802815
"Visitar_website_hotel",17.1015352800564,5.33490208929536
"logavaliacoes",20.3228502651154,27.3482713999699
"n_bin_true",26.2211184901037,32.2109878277755
"CarimboTripAdvisor_x_logavaliacoes",16.5725022374355,7.13205099677299
