"","score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Praia","Bar_lounge","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes"
"score_review",1,0.39633046715658,0.118597414928473,0.084598369924332,0.251008367178409,0.494401826104475,-0.177651676062684,-0.278413703474281,-0.147851429437545,0.0311981276646787,-0.0999302607272957,0.620313837349191,0.362148513638735,0.449632577381147
"CarimboTripAdvisor",0.39633046715658,1,0.120130093601872,-0.00368140007001184,0.199726442418196,0.355475788300738,-0.113009111207961,-0.0868365428511354,-0.0950765377083057,0.0857492925712544,-0.0525588331227637,0.430943743642526,0.272165526975909,0.372617231094412
"Patrocinado",0.118597414928473,0.120130093601872,1,0.0639437038953706,0.0173990872510078,0.0868420858207362,0.353107571563387,0.446777226226449,0.273781352941358,0.153910112817135,0.12107827052362,0.139895982271792,-0.123328482561838,0.101302721506424
"Breakfast",0.084598369924332,-0.00368140007001184,0.0639437038953706,1,0.109736472747224,0.0338928988264912,0.0789747127549066,0.0365888353780982,-0.0691279175837283,-0.0249385186823472,-0.0305714345261855,0.0828643672304363,0.0633733495215428,0.0649395732760195
"WiFi_gratuito",0.251008367178409,0.199726442418196,0.0173990872510078,0.109736472747224,1,0.346079378550916,-0.365320977960968,-0.155135633026627,-0.25744508147953,-0.046887032643235,-0.0261574277230117,0.234225621193718,0.156615297842605,0.332559238416452
"Estacionamento_gratuito",0.494401826104475,0.355475788300738,0.0868420858207362,0.0338928988264912,0.346079378550916,1,-0.278050059871613,-0.3886951869594,-0.161176710762681,0.0350924894126103,-0.128428698963376,0.471799660082817,0.311179787369374,0.537854208494119
"Piscina",-0.177651676062684,-0.113009111207961,0.353107571563387,0.0789747127549066,-0.365320977960968,-0.278050059871613,1,0.173988898503854,0.0552575058333214,0.0451298162414511,-0.0373347983946525,-0.104392300785502,-0.176304574319697,0.0463237725833324
"Restaurante",-0.278413703474281,-0.0868365428511354,0.446777226226449,0.0365888353780982,-0.155135633026627,-0.3886951869594,0.173988898503854,1,0.278643977128515,-0.022676978725492,0.123228738846105,-0.114899446600014,-0.194039800734355,-0.0828905313475999
"Servico_quartos",-0.147851429437545,-0.0950765377083057,0.273781352941358,-0.0691279175837283,-0.25744508147953,-0.161176710762681,0.0552575058333214,0.278643977128515,1,-0.0101909323107643,0.139086280640544,0.00537141305177208,-0.0846379018788096,-0.0543395383280257
"Praia",0.0311981276646787,0.0857492925712544,0.153910112817135,-0.0249385186823472,-0.046887032643235,0.0350924894126103,0.0451298162414511,-0.022676978725492,-0.0101909323107643,1,-0.0045068827586476,0.0511485274528384,0.0269845641192898,0.0688299060592144
"Bar_lounge",-0.0999302607272957,-0.0525588331227637,0.12107827052362,-0.0305714345261855,-0.0261574277230117,-0.128428698963376,-0.0373347983946525,0.123228738846105,0.139086280640544,-0.0045068827586476,1,-0.0378419066111549,-0.0482783709850734,-0.0108323888384599
"Tomar_medidas_seguranca",0.620313837349191,0.430943743642526,0.139895982271792,0.0828643672304363,0.234225621193718,0.471799660082817,-0.104392300785502,-0.114899446600014,0.00537141305177208,0.0511485274528384,-0.0378419066111549,1,0.434019352835218,0.642918219050566
"Visitar_website_hotel",0.362148513638735,0.272165526975909,-0.123328482561838,0.0633733495215428,0.156615297842605,0.311179787369374,-0.176304574319697,-0.194039800734355,-0.0846379018788096,0.0269845641192898,-0.0482783709850734,0.434019352835218,1,0.271967305585119
"logavaliacoes",0.449632577381147,0.372617231094412,0.101302721506424,0.0649395732760195,0.332559238416452,0.537854208494119,0.0463237725833324,-0.0828905313475999,-0.0543395383280257,0.0688299060592144,-0.0108323888384599,0.642918219050566,0.271967305585119,1
